Date,MSFT,AAPL,XOM,BP,SBUX
3/1/2013,0.036965567,0.008661444,0.012602688,0.059676417,0.041322578
4/1/2013,0.145776827,0.00027078,-0.012507265,0.029088976,0.066073745
5/1/2013,0.052953614,0.015574497,0.016494291,-0.015952691,0.03710697
6/1/2013,-0.003381027,-0.119298424,0.005566563,-0.015315632,0.040215059
7/1/2013,-0.081394752,0.132102331,0.03694081,-0.007213494,0.08455328
8/1/2013,0.047832512,0.073862014,-0.072885865,-0.003384241,-0.010859429
9/1/2013,0.003422638,-0.015142818,-0.006045824,0.030511812,0.090361704
10/1/2013,0.062037844,0.092015564,0.040766393,0.101068564,0.051650956
11/1/2013,0.074007286,0.061886161,0.042168984,0.010908063,0.00504573
12/1/2013,-0.011508437,0.014684172,0.086132324,0.0456732,-0.035200144
1/1/2014,0.01142872,-0.113949431,-0.093572545,-0.036024694,-0.09732765
2/1/2014,0.01234447,0.049950188,0.043630571,0.076344707,-0.002252569
3/1/2014,0.075087712,0.025724147,0.021597874,-0.039071701,0.037312083
4/1/2014,-0.014498288,0.094761265,0.047287443,0.051064626,-0.038338175
5/1/2014,0.013277877,0.070195415,-0.01852793,-0.003364276,0.036428572
6/1/2014,0.02542352,0.032856095,0.00825739,0.056091003,0.058659346
7/1/2014,0.03441307,0.028326347,-0.017433931,-0.074356195,0.003869465
8/1/2014,0.051258159,0.069689841,0.005242116,-0.023345704,0.00167222
9/1/2014,0.026490775,-0.012258658,-0.048987044,-0.072691728,-0.02730807
10/1/2014,0.012646052,0.069488812,0.027890143,-0.011211893,0.001324238
11/1/2014,0.018151849,0.09640385,-0.065924972,-0.100107545,0.07211151
12/1/2014,-0.022571233,-0.070279208,0.028070376,-0.016483559,0.01441231
1/1/2015,-0.139546464,0.059611576,-0.055944253,0.018454028,0.064652807
2/1/2015,0.081944937,0.092076997,0.012730705,0.065053356,0.065872819
3/1/2015,-0.068438394,-0.027935429,-0.033304514,-0.043215903,0.016502805
4/1/2015,0.179201362,0.005769732,0.027500783,0.098535953,0.046021043
5/1/2015,-0.037281789,0.040172992,-0.025150592,-0.04018509,0.046886465
6/1/2015,-0.053093706,-0.033769831,-0.015517287,-0.022831164,0.034624401
7/1/2015,0.056151241,-0.033480973,-0.049144479,-0.077772339,0.077313288
